23:24:43.425 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.prjapitrans.PrjapitransApplicationTests], using SpringBootContextLoader
23:24:43.432 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.prjapitrans.PrjapitransApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
23:24:43.433 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.prjapitrans.PrjapitransApplicationTests]: PrjapitransApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
23:24:43.564 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.prjapitrans.PrjapitransApplication for test class com.prjapitrans.PrjapitransApplicationTests
23:24:43.656 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
23:24:43.672 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@609bcfb6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7d94beb9, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@560348e6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1df8b5b8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@23202fce, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7b993c65, org.springframework.test.context.transaction.TransactionalTestExecutionListener@37911f88, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6f1c29b7, org.springframework.test.context.event.EventPublishingTestExecutionListener@4d6025c5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7f284218, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@407a7f2a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4ea5b703, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2a7ed1f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3fa247d1, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2cb2fc20]
23:24:43.954 [main] INFO  c.p.PrjapitransApplicationTests - Starting PrjapitransApplicationTests using Java 1.8.0_401 on RafaelValverdeP with PID 1692 (started by RafaelValverde in C:\Projetos\Java\prjapitrans)
23:24:43.957 [main] INFO  c.p.PrjapitransApplicationTests - No active profile set, falling back to default profiles: default
23:24:44.552 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
23:24:44.570 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces.
23:24:45.367 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPoolBooks - Starting...
23:24:46.691 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPoolBooks - Start completed.
23:24:48.074 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
23:24:48.560 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
23:24:49.923 [main] INFO  c.p.PrjapitransApplicationTests - Started PrjapitransApplicationTests in 6.217 seconds (JVM running for 7.17)
23:24:50.220 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
23:24:50.226 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPoolBooks - Shutdown initiated...
23:24:50.301 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPoolBooks - Shutdown completed.
