21:31:01.179 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.prjapitrans.PrjapitransApplicationTests], using SpringBootContextLoader
21:31:01.186 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.prjapitrans.PrjapitransApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
21:31:01.187 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.prjapitrans.PrjapitransApplicationTests]: PrjapitransApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
21:31:01.330 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.prjapitrans.PrjapitransApplication for test class com.prjapitrans.PrjapitransApplicationTests
21:31:01.445 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
21:31:01.465 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@a1f72f5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4b2c5e02, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@57a3e26a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@75c56eb9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4bc222e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2dc9b0f5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6531a794, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3b5fad2d, org.springframework.test.context.event.EventPublishingTestExecutionListener@5e17553a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3eb91815, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@56dc1551, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@102cec62, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@74f6c5d8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@27912e3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@34b9f960]
21:31:01.853 [main] INFO  c.p.PrjapitransApplicationTests - Starting PrjapitransApplicationTests using Java 1.8.0_401 on RafaelValverdeP with PID 10780 (started by RafaelValverde in C:\Projetos\Java\prjapitrans)
21:31:01.857 [main] INFO  c.p.PrjapitransApplicationTests - No active profile set, falling back to default profiles: default
21:31:04.474 [main] INFO  c.p.PrjapitransApplicationTests - Started PrjapitransApplicationTests in 2.965 seconds (JVM running for 4.206)
