22:46:43.377 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.prjapitrans.PrjapitransApplicationTests], using SpringBootContextLoader
22:46:43.386 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.prjapitrans.PrjapitransApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
22:46:43.387 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.prjapitrans.PrjapitransApplicationTests]: PrjapitransApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
22:46:43.541 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.prjapitrans.PrjapitransApplication for test class com.prjapitrans.PrjapitransApplicationTests
22:46:43.660 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
22:46:43.681 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2f666ebb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@19976a65, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@a1f72f5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4b2c5e02, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@57a3e26a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@75c56eb9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4bc222e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2dc9b0f5, org.springframework.test.context.event.EventPublishingTestExecutionListener@6531a794, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3b5fad2d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5e17553a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3eb91815, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@56dc1551, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@102cec62, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@74f6c5d8]
22:46:44.079 [main] INFO  c.p.PrjapitransApplicationTests - Starting PrjapitransApplicationTests using Java 1.8.0_401 on RafaelValverdeP with PID 1448 (started by RafaelValverde in C:\Projetos\Java\prjapitrans)
22:46:44.084 [main] INFO  c.p.PrjapitransApplicationTests - No active profile set, falling back to default profiles: default
22:46:46.865 [main] INFO  c.p.PrjapitransApplicationTests - Started PrjapitransApplicationTests in 3.136 seconds (JVM running for 4.24)
